|Urut Nasional|Urut Provinsi|NPSN|Kota/Kab.|Sekolah|Provinsi|Rerata|Tertinggi|Terendah|Std. Deviasi|Jenis
87|688|118|20363221|Kab. Sukoharjo|MAS PPMI ASSALAAM|Jawa Tengah|520.949|637.715|408.738|447.7|MA
88|689|119|20330332|Kab. Kebumen|SMKN 1 KEBUMEN|Jawa Tengah|520.94|590.173|436.35|323.9|SMK
89|690|120|20308442|Kab. Boyolali|SMAN 1 SIMO|Jawa Tengah|520.83|619.488|447.725|352.2|SMA
90|691|121|20303231|Kab. Purbalingga|SMAN 1 BOBOTSARI|Jawa Tengah|520.79|627.083|441.205|354.7|SMA
91|692|14|50100843|Kab. Jembrana|SMAN 1 NEGARA|Bali|520.784|643.978|431.933|420.1|SMA
92|693|51|20403227|Kota Yogyakarta|SMAS BOPKRI 1|DI Yogyakarta|520.69|600.39|416.238|349.4|SMA
93|694|18|69964938|Kab. Pasaman|SMA NEGERI 3 SUMATERA BARAT|Sumatera Barat|520.682|637.885|450.133|439.1|SMA
94|695|42|69943715|Kota Tangerang Selatan|SMA AL ADZKAR|Banten|520.669|601.735|459.683|310.9|SMA
95|696|107|20103279|Kota Jakarta Timur|SMAN 9 JAKARTA|DKI Jakarta|520.654|618.03|430.293|343.8|SMA
96|697|52|20401125|Kab. Sleman|SMAN 1 SEYEGAN|DI Yogyakarta|520.649|602.915|411.373|308.9|SMA
97|698|134|69866096|Kab. Bogor|SMA AL MINHAJ|Jawa Barat|520.645|605.503|424.838|397.5|SMA
98|699|135|20220322|Kota Bogor|SMAS BINA INSANI|Jawa Barat|520.624|617.055|436.128|408.7|SMA
99|700|136|20224510|Kota Tasikmalaya|SMA Negeri 2 Tasikmalaya|Jawa Barat|520.61|633.603|412.628|458.2|SMA
0|701|16|10403996|Kota Pekanbaru|SMAS CENDANA|Riau|520.542|630.875|410.053|488.1|SMA
1|702|104|20510147|Kab. Ponorogo|SMAN 2 PONOROGO|Jawa Timur|520.458|634.188|423.518|332.5|SMA
2|703|122|20312173|Kab. Karanganyar|SMAN KARANGPANDAN|Jawa Tengah|520.421|641.293|423.25|333.4|SMA
3|704|108|20100219|Kota Jakarta Pusat|SMAN 24 JAKARTA|DKI Jakarta|520.404|595.635|426.515|350.4|SMA
4|705|53|20402796|Kab. Kulon Progo|SMA NEGERI 1 SENTOLO|DI Yogyakarta|520.402|616.685|452.29|341.1|SMA
5|706|137|20220313|Kota Bogor|SMAS MARDI YUANA|Jawa Barat|520.372|634.475|411.78|430.2|SMA
6|707|105|20522640|Kab. Situbondo|SMAN 1 SITUBONDO|Jawa Timur|520.361|620.913|422.643|424.1|SMA
7|708|138|20231720|Kota Bekasi|SMAN 14 BEKASI|Jawa Barat|520.352|623.498|402.778|408.8|SMA
8|709|106|20511953|Kab. Kediri|SMAN 1 PARE|Jawa Timur|520.305|622.455|431.47|335.5|SMA
9|710|109|20103289|Kota Jakarta Timur|SMAN 106 JAKARTA|DKI Jakarta|520.233|629.533|434.633|332.7|SMA
10|711|123|20305013|Kab. Kebumen|SMAN 1 KUTOWINANGUN|Jawa Tengah|520.198|631.665|428.79|362.9|SMA
11|712|124|20309681|Kab. Klaten|SMAN 1 JOGONALAN|Jawa Tengah|520.142|632.415|437.823|350.8|SMA
12|713|139|20219316|Kota Bandung|SMAN 7 BANDUNG|Jawa Barat|520.133|609.588|430.23|391.2|SMA
13|714|140|20219247|Kota Bandung|SMAN 25 BANDUNG|Jawa Barat|520.118|609.888|417.335|405.|SMA
14|715|107|20534749|Kota Mojokerto|SMAN 2|Jawa Timur|520.038|624.185|395.648|366.5|SMA
15|716|125|20300731|Kab. Cilacap|SMA NEGERI 1 MAOS|Jawa Tengah|520.022|599.608|427.768|351.4|SMA
16|717|110|20100210|Kota Jakarta Pusat|SMAN 5 JAKARTA|DKI Jakarta|519.959|612.083|399.433|361.1|SMA
17|718|126|20319280|Kab. Demak|SMAN 1 DEMAK|Jawa Tengah|519.892|608.545|420.638|366.|SMA
18|719|141|20263963|Kab. Majalengka|SMKN KEHUTANAN KADIPATEN|Jawa Barat|519.836|608.093|440.22|338.5|SMK
19|720|127|20314884|Kab. Blora|SMAN 1 CEPU|Jawa Tengah|519.824|619.308|432.755|405.7|SMA
20|721|19|10300299|Kab. Agam|SMA NEGERI 1 AMPEK ANGKEK|Sumatera Barat|519.818|641.695|398.35|410.7|SMA
21|722|128|20337795|Kab. Boyolali|SMAS IT AL HIKMAH KARANGGEDE|Jawa Tengah|519.756|635.315|436.163|484.8|SMA
22|723|111|20103769|Kota Jakarta Timur|SMK CARAKA NUSANTARA|DKI Jakarta|519.737|604.055|459.233|321.5|SMK
23|724|129|20329508|Kota Pekalongan|SMA Negeri 3 Pekalongan|Jawa Tengah|519.699|622.105|432.908|347.4|SMA
24|725|1|69767796|Kota Kupang|SMAS KRISTEN 2 KUPANG|Nusa Tenggara Timur|519.607|583.063|465.745|303.7|SMA
25|726|130|20327586|Kota Magelang|SMKN 2 MAGELANG|Jawa Tengah|519.593|602.33|433.028|320.7|SMK
26|727|15|P9908600|Kota Denpasar|PKBM HOMESCHOOLING PRIMAGAMA|Bali|519.59|602.008|406.003|562.8|PKBM
27|728|54|20402788|Kab. Kulon Progo|SMK NEGERI 1 PENGASIH|DI Yogyakarta|519.534|599.205|450.475|321.3|SMK
28|729|108|20546529|Kab. Probolinggo|SMA TARUNA DRA. ZULAEHA|Jawa Timur|519.494|615.71|420.683|434.7|SMA
29|730|109|20517736|Kab. Malang|SMAN 1 TUMPANG|Jawa Timur|519.493|626.178|405.22|398.|SMA
30|731|17|10201985|Kab. Karo|SMA NEGERI 1 KABANJAHE|Sumatera Utara|519.493|647.155|378.39|472.5|SMA
31|732|110|20507726|Kab. Madiun|SMAN 1 GEGER|Jawa Timur|519.481|633.183|413.293|349.3|SMA
32|733|131|20307710|Kab. Magelang|SMAN 1 SALAMAN|Jawa Tengah|519.472|618.573|418.385|336.|SMA
33|734|142|20220341|Kota Bogor|SMAN 10 BOGOR|Jawa Barat|519.466|620.34|399.535|412.5|SMA
34|735|55|20403157|Kota Yogyakarta|SMAS MUHAMMADIYAH 1 YOGYAKARTA|DI Yogyakarta|519.456|615.988|433.885|369.5|SMA
35|736|143|20247276|Kota Depok|SMAS LAZUARDI GIS|Jawa Barat|519.432|597.895|428.72|353.3|SMA
36|737|112|20112433|Kota Jakarta Timur|SMAS JAKARTA ISLAMIC SCHOOL|DKI Jakarta|519.235|643.818|416.778|445.4|SMA
37|738|144|20229161|Kota Depok|SMAS MARDI YUANA PANCORAN MAS|Jawa Barat|519.147|654.863|430.515|380.8|SMA
38|739|145|20219246|Kota Bandung|SMAN 19 BANDUNG|Jawa Barat|519.061|663.38|429.178|384.2|SMA
39|740|56|20363282|Kota Yogyakarta|MAN 2 YOGYAKARTA|DI Yogyakarta|519.007|622.66|434.228|323.4|MA
40|741|111|20515450|Kab. Tulungagung|SMAN 1 BOYOLANGU|Jawa Timur|519.004|627.823|410.623|382.6|SMA
41|742|146|20219240|Kota Bandung|SMAN 13 BANDUNG|Jawa Barat|518.924|614.818|412.223|350.6|SMA
42|743|112|20525855|Kab. Banyuwangi|SMAN 1 GIRI|Jawa Timur|518.914|619.428|408.138|407.6|SMA
43|744|132|20363001|Kab. Kebumen|MAS WATHONIYAH ISLAMIYAH KARANGDUWUR|Jawa Tengah|518.843|611.885|457.5|366.2|MA
44|745|133|20363090|Kab. Kudus|MAS NU BANAT KUDUS|Jawa Tengah|518.817|648.2|411.62|461.7|MA
45|746|147|20213893|Kab. Majalengka|SMAN 1 MAJALENGKA|Jawa Barat|518.771|653.218|414.2|422.8|SMA
46|747|43|69961248|Kota Cilegon|SMA IT PUTRI AL HANIF|Banten|518.759|608.838|407.103|541.|SMA
47|748|134|20328898|Kota Semarang|SMA NEGERI 15|Jawa Tengah|518.751|600.68|418.398|326.|SMA
48|749|18|10211702|Kota Pematangsiantar|SMAN 4 PEMATANG SIANTAR|Sumatera Utara|518.714|620.873|407.663|438.3|SMA
49|750|113|20521711|Kab. Bondowoso|SMAN 2 BONDOWOSO|Jawa Timur|518.709|626.558|405.045|385.6|SMA
50|751|135|20325279|Kab. Tegal|SMAN 3 SLAWI|Jawa Tengah|518.634|611.853|430.068|300.2|SMA
51|752|136|69897124|Kota Semarang|SMA ISLAM AL AZHAR 14|Jawa Tengah|518.567|607.463|432.383|455.5|SMA
52|753|148|20224112|Kota Cimahi|SMA NEGERI 5 CIMAHI|Jawa Barat|518.534|617.733|418.97|374.1|SMA
53|754|137|69894827|Kab. Karanganyar|Tahfizh Nurul Iman|Jawa Tengah|518.506|571.77|468.335|273.1|MA
54|755|114|20501703|Kab. Sidoarjo|SMAN 1 WARU|Jawa Timur|518.505|637.765|412.698|384.9|SMA
55|756|138|20328891|Kota Semarang|SMA NEGERI 07|Jawa Tengah|518.493|614.948|442.438|309.7|SMA
56|757|7|60725447|Kab. Barito Kuala|SMAS GIBS|Kalimantan Selatan|518.462|645.513|420.483|457.4|SMA
57|758|57|20407372|Kab. Sleman|SMAS TERPADU BINA UMAT|DI Yogyakarta|518.46|615.303|461.68|319.4|SMA
58|759|139|20317501|Kab. Kudus|SMAN 2 KUDUS|Jawa Tengah|518.459|621.103|425.78|352.5|SMA
59|760|140|20329845|Kota Tegal|SMAN 3 TEGAL|Jawa Tengah|518.39|610.598|428.75|314.8|SMA
60|761|19|10263550|Kab. Humbang Hasudutan|SMAN 2 LINTONGNIHUTA|Sumatera Utara|518.311|602.86|413.78|418.6|SMA
61|762|141|20363035|Kota Salatiga|MAN SALATIGA|Jawa Tengah|518.239|602.983|424.28|387.5|MA
62|763|115|20501862|Kab. Sidoarjo|SMAN 1 GEDANGAN|Jawa Timur|518.18|618.553|422.243|361.|SMA
63|764|113|20101585|Kota Jakarta Barat|SMAN 94 JAKARTA|DKI Jakarta|518.053|609.55|435.385|345.2|SMA
64|765|149|20218356|Kab. Bekasi|SMAN 1 CIKARANG UTARA|Jawa Barat|518.006|635.38|403.555|475.2|SMA
65|766|142|69829549|Kota Jakarta Selatan|SMA SYUBBANUL WATHON|Jawa Tengah|517.958|611.245|420.113|357.2|SMA
66|767|150|20222311|Kota Cirebon|SMAN 6 CIREBON|Jawa Barat|517.944|610.008|415.788|383.5|SMA
67|768|8|30300239|Kab. Banjar|SMAN 1 MARTAPURA|Kalimantan Selatan|517.899|632.86|430.545|377.1|SMA
68|769|151|20203739|Kab. Cianjur|SMAN 1 CIANJUR|Jawa Barat|517.892|636.105|420.553|42.|SMA
69|770|143|20328398|Kota Salatiga|SMAS KRISTEN 1 SIDOMUKTI|Jawa Tengah|517.888|593.858|446.8|366.3|SMA
70|771|9|30304280|Kota Banjarmasin|SMAN 1 BANJARMASIN|Kalimantan Selatan|517.843|636.435|418.99|431.4|SMA
71|772|144|20313028|Kab. Sragen|SMAN 2 SRAGEN|Jawa Tengah|517.839|613.63|434.35|335.2|SMA
72|773|116|20519303|Kab. Pasuruan|SMAN 1 BANGIL|Jawa Timur|517.758|614.22|420.673|389.7|SMA
73|774|16|50102568|Kab. Bangli|SMAN 1 BANGLI|Bali|517.751|641.333|429.655|422.9|SMA
74|775|58|20363271|Kab. Bantul|MAS ALI MAKSUM|DI Yogyakarta|517.657|610.96|421.2|407.1|MA
75|776|114|20102210|Kota Jakarta Selatan|SMAN 46 JAKARTA|DKI Jakarta|517.553|627.65|424.303|354.6|SMA
76|777|59|20400389|Kab. Bantul|SMA NEGERI 3 BANTUL|DI Yogyakarta|517.478|615.348|437.4|332.4|SMA
77|778|17|50103120|Kota Denpasar|SMAN 7 DENPASAR|Bali|517.467|633.475|402.758|421.9|SMA
78|779|145|20302168|Kab. Banyumas|SMAN 4 PURWOKERTO|Jawa Tengah|517.444|617.035|429.8|294.|SMA
79|780|115|20109516|Kota Jakarta Selatan|SMAS INTERNATIONAL ISLAMIC HIGH SCHOOL (IIHS)|DKI Jakarta|517.429|630.243|417.013|466.8|SMA
80|781|146|20327979|Kota Surakarta|SMAS MTA SURAKARTA|Jawa Tengah|517.388|624.008|411.545|405.9|SMA
81|782|116|20100212|Kota Jakarta Pusat|SMAN 35 JAKARTA|DKI Jakarta|517.321|604.245|433.765|340.1|SMA
82|783|147|20363083|Kab. Kudus|MAS MAAHID|Jawa Tengah|517.314|589.47|427.503|460.6|MA
83|784|152|20221590|Kota Sukabumi|SMAS MARDI YUANA|Jawa Barat|517.22|607.49|418.89|483.7|SMA
84|785|60|20403151|Kota Yogyakarta|SMAS BUDYA WACANA|DI Yogyakarta|517.194|609.808|443.465|382.5|SMA
85|786|6|10901003|Kab. Belitung Timur|SMAN 1 MANGGAR|Kepulauan Bangka Belitung|517.109|654.018|423.625|383.6|SMA
86|787|61|20401160|Kab. Sleman|SMAN 1 GAMPING|DI Yogyakarta|517.099|576.208|418.575|268.8|SMA
87|788|3|69766210|Kab. Kaur|SMAN 10 KAUR (PENTAGON)|Bengkulu|517.073|597.325|454.16|376.5|SMA
88|789|117|20107322|Kota Jakarta Selatan|SMAS PANGUDI LUHUR JAKARTA|DKI Jakarta|517.052|596.748|456.71|356.9|SMA
89|790|117|20534383|Kota Kediri|SMAN 7 KEDIRI|Jawa Timur|516.894|624.4|423.518|405.4|SMA
90|791|153|20237987|Kab. Bekasi|SMAN 1 CIKARANG PUSAT|Jawa Barat|516.836|640.028|411.163|423.3|SMA
91|792|118|20532261|Kota Surabaya|SMAN 7 SURABAYA|Jawa Timur|516.832|597.28|419.635|352.1|SMA
92|793|119|20533639|Kota Malang|SMAN 7|Jawa Timur|516.825|636.798|424.18|338.3|SMA
93|794|148|20332522|Kota Semarang|SMA KRISTEN TERANG BANGSA|Jawa Tengah|516.759|633.57|415.425|462.6|SMA
94|795|149|20303246|Kab. Purbalingga|SMAN 2 PURBALINGGA|Jawa Tengah|516.686|611.045|440.013|312.4|SMA
95|796|1|30201848|Kab. Kotawaringin Barat|SMAN 1 PANGKALAN BUN|Kalimantan Tengah|516.641|593.63|443.08|330.5|SMA
96|797|62|P9908270|Kota Yogyakarta|PKBM HOME SCHOOLING PRIMAGAMA|DI Yogyakarta|516.637|628.078|432.908|445.4|PKBM
97|798|154|20252020|Kab. Bekasi|SMA IIBS|Jawa Barat|516.614|613.403|428.57|422.4|SMA
98|799|8|69830525|Kab. Lampung Selatan|SMA KEBANGSAAN|Lampung|516.534|627.578|417.698|445.4|SMA
99|800|155|20215991|Kab. Indramayu|SMAN 1 SINDANG|Jawa Barat|516.517|628.503|428.588|410.8|SMA
0|801|63|69946713|Kab. Sleman|SMA ISLAM AL AZHAR 9 YOGYAKARTA|DI Yogyakarta|516.459|634.31|424.448|480.4|SMA
1|802|44|20606289|Kota Cilegon|SMAN 1 CILEGON|Banten|516.404|609.355|398.023|412.4|SMA
2|803|150|20310418|Kab. Sukoharjo|SMAN 1 TAWANGSARI|Jawa Tengah|516.403|602.73|445.225|313.7|SMA
3|804|11|69761840|Kota Samarinda|SMAS Islam Bunga Bangsa|Kalimantan Timur|516.389|606.685|456.51|399.2|SMA
4|805|64|20400373|Kab. Bantul|SMA NEGERI 1 SANDEN|DI Yogyakarta|516.374|596.155|434.89|298.|SMA
5|806|151|20306811|Kab. Wonosobo|SMK NEGERI 1 WONOSOBO|Jawa Tengah|516.314|626.243|434.948|340.2|SMK
6|807|65|20403182|Kota Yogyakarta|SMAS BOPKRI 2|DI Yogyakarta|516.295|598.57|451.08|384.|SMA
7|808|118|69967066|Kota Jakarta Timur|SMAIT Buahati Islamic School|DKI Jakarta|516.276|583.455|433.365|406.2|SMA
8|809|20|10303781|Kota Solok|SMAN 1 SOLOK|Sumatera Barat|516.272|634.315|414.078|398.4|SMA
9|810|156|20219720|Kota Bandung|SMAS DARUL HIKAM BANDUNG|Jawa Barat|516.266|597.08|430.673|416.5|SMA
10|811|152|20306172|Kab. Purworejo|SMAN 6 PURWOREJO|Jawa Tengah|516.245|610.038|437.765|312.2|SMA
11|812|120|20532243|Kota Surabaya|SMAN 10 SURABAYA|Jawa Timur|516.217|597.265|391.665|374.4|SMA
12|813|153|20302183|Kab. Banyumas|SMAN 1 JATILAWANG|Jawa Tengah|516.2|614.085|425.705|368.5|SMA
13|814|4|10107309|Kota Banda Aceh|SMAS FATIH BILINGUAL SCHOOL|Aceh|516.062|635.79|386.34|587.6|SMA
14|815|121|20584134|Kab. Blitar|MAN 1 BLITAR|Jawa Timur|516.053|636.393|438.683|380.7|MA
15|816|154|20320241|Kab. Semarang|SMA NEGERI 2 UNGARAN|Jawa Tengah|516.039|589.428|442.588|295.9|SMA
16|817|66|20403280|Kota Yogyakarta|SMKN 2 YOGYAKARTA|DI Yogyakarta|516.02|603.313|428.823|313.|SMK
17|818|155|20300732|Kab. Cilacap|SMA NEGERI 1 MAJENANG|Jawa Tengah|515.978|623.483|425.428|378.7|SMA
18|819|5|30105466|Kota Singkawang|SMAN 3 SINGKAWANG|Kalimantan Barat|515.925|600.933|423.935|382.9|SMA
19|820|156|69943795|Kota Semarang|SMA Islam Al Azhar 15|Jawa Tengah|515.865|624.378|420.045|550.9|SMA
20|821|157|20277242|Kab. Majalengka|MAS PUTRI PUI TALAGA|Jawa Barat|515.862|568.37|454.078|333.1|MA
21|822|67|20403295|Kota Yogyakarta|SMKN 7 YOGYAKARTA|DI Yogyakarta|515.842|616.473|439.905|306.|SMK
22|823|3|50204515|Kota Mataram|SMAN 5 MATARAM|Nusa Tenggara Barat|515.74|636.05|411.778|435.9|SMA
23|824|21|10307309|Kota Pariaman|SMAN 1 PARIAMAN|Sumatera Barat|515.723|612.965|385.135|427.6|SMA
24|825|157|20318318|Kab. Jepara|SMK NEGERI 3 JEPARA|Jawa Tengah|515.681|590.588|446.013|342.7|SMK
25|826|158|20312172|Kab. Karanganyar|SMAN KEBAKKRAMAT|Jawa Tengah|515.678|598.738|429.268|321.7|SMA
26|827|22|10303467|Kota Padang|SMAS DON BOSCO|Sumatera Barat|515.664|608.583|408.383|372.6|SMA
27|828|159|20362931|Kab. Jepara|MAN 1 JEPARA|Jawa Tengah|515.639|593.463|435.055|352.8|MA
28|829|18|50102366|Kab. Klungkung|SMAN 1 SEMARAPURA|Bali|515.638|635.92|405.625|441.2|SMA
29|830|119|20107289|Kota Jakarta Selatan|SMA CHARITAS|DKI Jakarta|515.603|641.088|397.903|455.8|SMA
30|831|122|20532146|Kota Surabaya|SMAS KATOLIK STELLA MARIS|Jawa Timur|515.591|602.183|449.855|448.5|SMA
31|832|68|20407373|Kota Yogyakarta|SMKS INDONESIA YOGYAKARTA|DI Yogyakarta|515.501|598.945|424.818|318.6|SMK
32|833|123|20538394|Kab. Nganjuk|SMAN 1 KERTOSONO|Jawa Timur|515.489|633.68|435.76|367.9|SMA
33|834|2|69980514|Kota Palu|MAN INSAN CENDEKIA KOTA PALU|Sulawesi Tengah|515.453|629.295|426.318|453.8|MA
34|835|12|30401058|Kota Samarinda|SMA Negeri 3 Samarinda|Kalimantan Timur|515.401|625.11|427.685|374.|SMA
35|836|120|20100223|Kota Jakarta Pusat|SMAN 27 JAKARTA|DKI Jakarta|515.353|623.59|410.063|351.7|SMA
36|837|121|20103300|Kota Jakarta Timur|SMAN 88 JAKARTA|DKI Jakarta|515.343|615.475|444.568|332.9|SMA
37|838|160|20301902|Kab. Banyumas|SMKS TELEKOMUNIKASI SANDHY PUTRA PURWOKERTO|Jawa Tengah|515.314|604.05|435.215|338.3|SMK
38|839|45|20603346|Kab. Tangerang|SMAS ISLAMIC VILLAGE|Banten|515.301|645.058|427.12|462.4|SMA
39|840|122|20103305|Kota Jakarta Timur|SMAN 64 JAKARTA|DKI Jakarta|515.289|624.99|416.813|337.2|SMA
40|841|17|10404015|Kota Pekanbaru|SMA NEGERI 4 PEKANBARU|Riau|515.268|610.948|412.4|400.3|SMA
41|842|158|20219257|Kota Bandung|SMAN 10 BANDUNG|Jawa Barat|515.217|624.275|411.985|413.|SMA
42|843|9|10807030|Kota Bandar Lampung|SMA S FRANSISCUS|Lampung|515.198|611.43|421.673|445.4|SMA
43|844|23|10307525|Kota Bukittinggi|SMAN 3 BUKITTINGGI|Sumatera Barat|515.185|632.238|418.828|379.3|SMA
44|845|8|69814064|Kab. Toraja Utara|SMAS KRISTEN 2 RANTEPAO|Sulawesi Selatan|515.124|638.655|433.618|457.8|SMA
45|846|69|20402116|Kab. Gunung Kidul|SMAN 1 SEMIN|DI Yogyakarta|515.085|590.253|452.378|345.3|SMA
46|847|10|30315550|Kab. Hulu Sungai Utara|MAN 2 HULU SUNGAI UTARA|Kalimantan Selatan|514.999|605.86|458.353|404.|MA
47|848|70|20404175|Kota Yogyakarta|SMAS PANGUDI LUHUR|DI Yogyakarta|514.964|604.538|440.553|316.2|SMA
48|849|161|20309526|Kab. Klaten|SMKN 2 KLATEN|Jawa Tengah|514.963|615.638|445.445|320.4|SMK
49|850|24|10263753|Kota Padang Panjang|MAS KMI DINIYAH PUTERI|Sumatera Barat|514.897|584.443|415.253|367.8|MA
50|851|162|20311331|Kab. Wonogiri|SMAN 2 WONOGIRI|Jawa Tengah|514.877|614.323|415.94|331.4|SMA
51|852|13|30401066|Kota Samarinda|SMA Negeri 1 Samarinda|Kalimantan Timur|514.865|634.543|428.935|415.6|SMA
52|853|25|10307524|Kota Bukittinggi|SMAN 2 BUKITTINGGI|Sumatera Barat|514.858|619.44|409.313|398.2|SMA
53|854|159|20257102|Kab. Bekasi|SMAS IT THORIQ BIN ZIYAD|Jawa Barat|514.702|634.243|409.01|457.9|SMA
54|855|123|20103312|Kota Jakarta Timur|SMAN 51 JAKARTA|DKI Jakarta|514.693|624.563|398.478|348.3|SMA
55|856|124|20103287|Kota Jakarta Timur|SMAN 11 JAKARTA|DKI Jakarta|514.675|609.56|429.598|333.4|SMA
56|857|163|20318337|Kab. Jepara|SMA NEGERI 1 WELAHAN|Jawa Tengah|514.663|617.203|420.26|388.5|SMA
57|858|7|10900238|Kab. Bangka|SMAN 1 BELINYU|Kepulauan Bangka Belitung|514.621|612.66|441.815|378.9|SMA
58|859|71|20403146|Kota Yogyakarta|SMAS STELLA DUCE 2|DI Yogyakarta|514.616|618.238|409.215|425.8|SMA
59|860|164|20300729|Kab. Cilacap|SMA NEGERI 1 SIDAREJA|Jawa Tengah|514.6|608.425|389.773|381.1|SMA
60|861|165|20326490|Kab. Brebes|SMAN 1 BUMIAYU|Jawa Tengah|514.591|654.04|424.105|366.7|SMA
61|862|1|30401697|Kota Tarakan|SMAN 1 TARAKAN|Kalimantan Utara|514.583|626.753|407.033|429.6|SMA
62|863|125|20177928|Kota Jakarta Selatan|MAN 13 JAKARTA|DKI Jakarta|514.575|611.238|417.855|383.5|MA
63|864|8|11000382|Kota Batam|SMKN 1 BATAM|Kepulauan Riau|514.568|586.7|435.425|340.4|SMK
64|865|2|60103098|Kota Ambon|SMAN SIWALIMA AMBON|Maluku|514.554|606.478|431.673|357.8|SMA
65|866|126|20101500|Kota Jakarta Barat|SMKN 42 JAKARTA|DKI Jakarta|514.467|610.38|462.048|345.1|SMK
66|867|124|20503407|Kab. Jombang|SMA NEGERI NGORO|Jawa Timur|514.466|603.538|414.788|381.3|SMA
67|868|125|20535465|Kota Pasuruan|UPT SMA NEGERI 2 PASURUAN|Jawa Timur|514.464|641.36|413.278|367.1|SMA
68|869|160|20221587|Kota Sukabumi|SMAS PESANTREN TERPADU HAYATAN THAYYIBAH|Jawa Barat|514.427|645.888|412.28|541.6|SMA
69|870|19|50103122|Kota Denpasar|SMAN 5 DENPASAR|Bali|514.417|621.268|413.553|381.8|SMA
70|871|46|20613785|Kab. Tangerang|SMAN 23 KABUPATEN TANGERANG|Banten|514.404|603.943|419.735|375.4|SMA
71|872|161|20206227|Kab. Bandung Barat|SMAN 1 CISARUA|Jawa Barat|514.35|628.465|402.058|409.5|SMA
72|873|162|69874079|Kab. Bogor|SMA REGINA CAELI|Jawa Barat|514.349|581.98|460.978|369.2|SMA
73|874|126|20503415|Kab. Jombang|SMA NEGERI 1 JOMBANG|Jawa Timur|514.292|615.878|412.528|363.7|SMA
74|875|166|20339022|Kab. Pati|SMA NEGERI 1 TAYU|Jawa Tengah|514.274|619.355|424.56|343.7|SMA
75|876|72|20401136|Kab. Sleman|SMKN 1 TEMPEL|DI Yogyakarta|514.22|589.318|447.685|346.|SMK
76|877|8|10901019|Kab. Belitung Timur|SMAN 1 KELAPA KAMPIT|Kepulauan Bangka Belitung|514.21|596.958|439.175|360.6|SMA
77|878|20|50103126|Kota Denpasar|SMAN 2 DENPASAR|Bali|514.184|628.738|411.253|433.7|SMA
78|879|127|20101604|Kota Jakarta Barat|SMAN 57 JAKARTA|DKI Jakarta|514.088|612.325|417.415|349.9|SMA
79|880|3|40203776|Kota Palu|SMAN MODEL TERPADU MADANI|Sulawesi Tengah|514.077|614.1|409.675|418.|SMA
80|881|127|20534408|Kota Kediri|SMKN 2 KEDIRI|Jawa Timur|514.009|591.843|432.045|358.3|SMK
81|882|163|20219775|Kota Bandung|SMAS PLUS MUTHAHHARI|Jawa Barat|513.993|632.94|423.73|535.3|SMA
82|883|128|69856217|Kab. Sidoarjo|SMA PEMBANGUNAN JAYA 2|Jawa Timur|513.891|636.39|431.4|587.4|SMA
83|884|164|20219141|Kota Bandung|SMKN 7 BANDUNG|Jawa Barat|513.848|595.76|425.838|364.8|SMK
84|885|165|20219235|Kota Bandung|SMAN 17 BANDUNG|Jawa Barat|513.842|620.558|438.825|356.1|SMA
85|886|129|20580048|Kota Madiun|MAN 2 KOTA MADIUN|Jawa Timur|513.838|634.158|421.338|422.4|MA
86|887|73|20401128|Kab. Sleman|SMAN 1 NGEMPLAK|DI Yogyakarta|513.784|606.24|449.37|325.4|SMA
87|888|130|20501700|Kab. Sidoarjo|SMAN 4 SIDOARJO|Jawa Timur|513.774|594.67|405.403|372.3|SMA
88|889|14|30401785|Kota Bontang|SMAN 2 BONTANG|Kalimantan Timur|513.714|593.035|420.303|353.3|SMA
89|890|128|20101621|Kota Jakarta Barat|SMAN 23 JAKARTA|DKI Jakarta|513.701|611.08|417.003|339.4|SMA
90|891|167|20326488|Kab. Brebes|SMAN 1 BREBES|Jawa Tengah|513.65|626.528|427.12|385.|SMA
91|892|166|20270720|Kab. Bogor|SMAS ISLAM HASMI|Jawa Barat|513.606|599.38|439.785|417.8|SMA
92|893|6|69976449|Kab. Sambas|MAN INSAN CENDEKIA SAMBAS|Kalimantan Barat|513.589|599.718|437.68|357.|MA
93|894|74|20401193|Kab. Sleman|SMKN 1 DEPOK|DI Yogyakarta|513.535|587.533|438.425|332.6|SMK
94|895|75|20400374|Kab. Bantul|SMA NEGERI 1 PUNDONG|DI Yogyakarta|513.476|613.588|424.183|361.2|SMA
95|896|131|20580301|Kab. Jember|MAS MUHAMMADIYAH 1 JEMBER|Jawa Timur|513.472|576.038|462.07|279.6|MA
96|897|4|50202522|Kab. Lombok Timur|SMAN 1 SELONG|Nusa Tenggara Barat|513.421|631.143|428.473|432.8|SMA
97|898|168|20331830|Kota Surakarta|SMKS FARMASI NASIONAL SURAKARTA|Jawa Tengah|513.392|589.975|443.593|339.8|SMK
98|899|169|20318339|Kab. Jepara|SMA NEGERI 1 PECANGAAN|Jawa Tengah|513.357|619.925|422.99|368.4|SMA
99|900|170|20328448|Kota Salatiga|SMAN 2 SALATIGA|Jawa Tengah|513.224|625.86|447.725|354.2|SMA
0|901|132|20534308|Kota Kediri|SMAS AR RISALAH|Jawa Timur|513.197|622.288|437.65|472.5|SMA
1|902|76|20401137|Kab. Sleman|SMKN 1 GODEAN|DI Yogyakarta|513.158|605.183|429.548|314.5|SMK
2|903|133|20532167|Kota Surabaya|SMAS LUQMAN AL HAKIM|Jawa Timur|513.141|631.903|400.46|483.9|SMA
