|Urut Nasional|Urut Provinsi|NPSN|Kota/Kab.|Sekolah|Provinsi|Rerata|Tertinggi|Terendah|Std. Deviasi|Jenis
93|394|58|20540060|Kab. Sidoarjo|SMAS KRISTEN PETRA 4|Jawa Timur|534.991|612.893|442.48|435.8|SMA
94|395|59|20525856|Kab. Banyuwangi|SMAN 1 GLAGAH|Jawa Timur|534.979|626.195|408.925|421.9|SMA
95|396|8|69816324|Kota Pekanbaru|SMA IT AL BAYYINAH|Riau|534.939|608.785|476.42|346.|SMA
96|397|68|20320387|Kab. Semarang|SMA NEGERI 1 AMBARAWA|Jawa Tengah|534.732|628.748|455.553|333.4|SMA
97|398|69|20330921|Kab. Sragen|SMA TRENSAINS MUHAMMADIYAH SRAGEN|Jawa Tengah|534.637|626.693|470.128|382.3|SMA
98|399|69|20219270|Kota Bandung|SMAS KRIDA NUSANTARA|Jawa Barat|534.596|626.723|385.238|396.1|SMA
99|400|4|10807016|Kota Bandar Lampung|SMA S XAVERIUS BANDAR LAMPUNG|Lampung|534.54|621.005|436.453|472.3|SMA
0|401|70|20329512|Kota Pekalongan|SMK Negeri 2 Pekalongan|Jawa Tengah|534.403|602.16|482.043|337.4|SMK
1|402|70|20220335|Kota Bogor|SMAN 6 BOGOR|Jawa Barat|534.388|638.505|421.22|436.2|SMA
2|403|33|20401315|Kab. Sleman|SMKN 2 DEPOK|DI Yogyakarta|534.228|625.77|455.578|330.5|SMK
3|404|34|20363284|Kota Yogyakarta|MAS MUALLIMIN MUHAMMADIYAH|DI Yogyakarta|534.106|652.93|440.34|441.7|MA
4|405|60|20514344|Kab. Blitar|SMAN 1 TALUN|Jawa Timur|534.013|654.115|417.19|398.2|SMA
5|406|71|20219243|Kota Bandung|SMAN 11 BANDUNG|Jawa Barat|533.964|620.628|400.595|443.6|SMA
6|407|72|69822684|Kab. Bandung Barat|SMAS DARUL HIKAM INTERNASIONAL|Jawa Barat|533.911|624.035|460.14|420.7|SMA
7|408|35|20404171|Kota Yogyakarta|SMAS IT ABU BAKAR|DI Yogyakarta|533.897|631.07|441.955|350.6|SMA
8|409|61|20501702|Kab. Sidoarjo|SMAN 2 SIDOARJO|Jawa Timur|533.891|640.893|426.528|390.4|SMA
9|410|73|20222364|Kota Cirebon|SMAN 1 CIREBON|Jawa Barat|533.837|645.333|402.773|444.|SMA
10|411|2|40102411|Kab. Minahasa Utara|SMA MANADO INDEPENDENT SCHOOL|Sulawesi Utara|533.812|632.67|410.86|525.|SMA
11|412|29|69982590|Kab. Tangerang|SMA AL WILDAN ISLAMIC SCHOOL|Banten|533.797|648.65|437.958|429.9|SMA
12|413|2|30401067|Kota Samarinda|SMA Negeri 10 Samarinda|Kalimantan Timur|533.77|643.058|422.675|426.5|SMA
13|414|71|20362982|Kab. Karanganyar|MAS TAHFIZHUL QUR`AN|Jawa Tengah|533.708|610.708|468.87|320.8|MA
14|415|72|20308448|Kab. Boyolali|SMAN 3 BOYOLALI|Jawa Tengah|533.697|611.325|444.075|324.6|SMA
15|416|74|20246730|Kota Bekasi|SMAS GLOBAL PRESTASI|Jawa Barat|533.627|614.848|430.738|418.2|SMA
16|417|4|40307369|Kota Makassar|SMAS KATOLIK RAJAWALI|Sulawesi Selatan|533.445|655.018|421.853|495.8|SMA
